rodriguez,765181
gomez,1427574
lopez,1981239
gonzalez,2527008
garcia,3059518
martinez,3571694
ramirez,4039953
sanchez,4508020
hernandez,4939454
diaz,5370835
perez,5799055
torres,6164316
rojas,6518764
vargas,6836037
moreno,7150183
gutierrez,7429129
jimenez,7700057
munoz,7970810
castro,8237213
ortiz,8502638
alvarez,8746052
ruiz,8985221
suarez,9220058
romero,9448257
herrera,9669590
valencia,9880547
quintero,10090298
restrepo,10298425
giraldo,10504176
morales,10708162
mejia,10905370
arias,11087433
parra,11266264
jaramillo,11440186
cardenas,11612781
osorio,11782860
castillo,11952153
salazar,12121131
cardona,12285637
florez,12447540
medina,12608815
rivera,12767993
montoya,12926455
cortes,13082821
correa,13238872
marin,13394574
rincon,13548389
zapata,13701366
escobar,13851652
velasquez,14000576
acosta,14148976
guerrero,14296572
ospina,14439941
garzon,14580357
vasquez,14720721
reyes,14860351
sierra,14999195
guzman,15137865
cruz,15271573
mendoza,15405089
arango,15537837
molina,15669641
bernal,15801183
mora,15931537
beltran,16058118
lozano,16183476
velez,16304746
fernandez,16423413
pena,16541993
leon,16659665
franco,16776376
silva,16891882
orozco,17006200
forero,17120151
rios,17233508
agudelo,17346358
ramos,17455907
mosquera,17565019
duque,17673572
henao,17782020
calderon,17890066
delgado,17997274
londono,18103206
mendez,18208265
pinzon,18312870
ortega,18415798
vega,18516263
contreras,18616151
uribe,18715882
pineda,18815316
trujillo,18913597
hurtado,19011756
carvajal,19107312
caicedo,19202047
barrera,19295367
avila,19388163
acevedo,19480714
buitrago,19572846
bedoya,19664401
gil,19755380
camacho,19843983
sarmiento,19930612
murillo,20014167
vanegas,20097215
rueda,20179721
cano,20261826
duran,20343162
ochoa,20424376
camargo,20505572
sandoval,20586698
hoyos,20667685
duarte,20748235
bermudez,20827580
soto,20906593
amaya,20985483
castellanos,21064216
bonilla,21142740
espinosa,21220792
paez,21298355
ardila,21375795
gallego,21453218
toro,21529226
cordoba,21604972
zuluaga,21680508
aguirre,21755555
castaneda,21830235
castano,21904776
prieto,21978426
pardo,22051569
vergara,22124572
carrillo,22197366
mesa,22270107
ocampo,22342796
navarro,22415450
palacios,22487650
ariza,22559640
tovar,22631508
blanco,22702974
villa,22774283
alzate,22844945
cifuentes,22915450
daza,22985518
pulido,23054853
benavides,23123541
becerra,23192212
galvis,23260848
guevara,23328471
zambrano,23395937
patino,23462721
arevalo,23529208
serna,23595625
serrano,23662008
fonseca,23727901
palacio,23793655
barrios,23859024
botero,23924358
nieto,23987229
arenas,24049663
gaviria,24112010
perdomo,24173851
posada,24235674
villegas,24297340
galindo,24358587
roa,24419205
ordonez,24479735
pacheco,24540056
padilla,24599521
ayala,24658025
cabrera,24716477
solano,24774911
naranjo,24833066
monsalve,24891151
estrada,24949096
nino,25006569
bautista,25063780
gonzales,25119995
bohorquez,25176158
fajardo,25232216
jaimes,25287768
sanabria,25343250
aguilar,25398714
triana,25453811
luna,25508419
melo,25562818
velasco,25617042
salcedo,25671249
murcia,25725386
narvaez,25779488
betancur,25833345
figueroa,25886626
arboleda,25939837
alvarado,25992960
angel,26045926
marquez,26098578
montes,26150898
monroy,26202432
rubio,26253651
pinto,26304783
galeano,26355566
maldonado,26406156
